	wt	gender	grade	live.with.father	amt.smoke	alcohol	amt.alcohol	marijuana	amt.marijuana
6449	631.101	1	3	1	98	2	98	2	1
3422	5200.5747	2	1	1	98	2	98	2	1
2262	294.376	2	1	1	98	2	98	2	1
3444	4655.4369	2	2	1	98	1	6	2	1
6059	1825.5504	2	2	1	98	1	7	2	1
7074	4738.8866	1	3	2	6	1	7	2	1
7010	1314.5165	2	1	1	98	2	98	2	1
4045	5390.5509	1	1	1	98	2	98	2	1
5831	2317.5904	1	2	1	98	1	6	2	1
7546	195.4126	1	1	1	98	2	98	2	1
9063	1905.1062	2	3	1	98	2	98	2	1
2587	3447.0998	1	2	1	98	2	98	2	1
5512	537.2579	1	1	2	98	2	98	2	1
418	1589.7934	2	3	1	6	1	6	2	1
2167	6842.7902	2	1	1	98	2	98	2	1
7083	8323.3558	2	3	1	98	2	98	2	1
3975	3818.0291	2	2	1	98	2	98	2	1
9070	1905.1062	1	3	1	98	2	98	2	1
8162	1868.6726	2	3	2	7	1	5	1	6
9422	4234.2961	1	2	2	3	1	5	1	7
4539	2484.8248	1	2	2	5	1	6	1	8
7684	1363.5526	1	3	1	98	1	3	2	1
7194	2485.9298	2	2	2	7	2	98	2	1
4569	8757.5344	1	1	1	98	2	98	2	1
6759	6223.7833	2	2	2	7	1	7	2	1
555	226.8023	2	2	2	3	1	7	2	1
4080	381.5483	1	1	1	7	2	98	2	1
2531	2902.1006	2	1	1	98	2	98	2	1
5805	7950.9478	2	1	1	98	2	98	2	1
7123	247.0362	1	1	1	7	2	98	1	8
2154	3771.158	1	2	2	6	1	4	1	7
9208	1304.8002	1	1	1	7	1	7	2	1
1971	1389.134	1	1	1	98	9	99	2	1
9394	6245.8787	1	3	2	98	1	7	2	1
7840	812.8721	2	2	1	98	2	98	2	1
4934	713.5475	2	3	1	98	2	98	2	1
2595	3447.0998	1	2	1	98	1	6	2	1
